reg. no,Team name,member1,member2
11910453,Alpha,,
11902178,The amigos,11902159,11901835
11907307,universal,11916607,
11910761,the daksh,1191492,11908621
11802986,rebel stars,11804504,
11907306,stragger,,
11902378,WTIN,,
11902336,GUJU boy,,
11904979,warriers,,
11901876,KABOOM,,
11904124,The deeds,,
11902033,HYDRA,,
11910524,Alpha,,
11903744,TORQUE,,
11901845,HUNTER,,
11901301,BAD BOYS,,
11903600,VPR,11902222,
11902186,RCB,,
11911147,SPRIT,,
11902976,MADMAX,,
11902342,SIDDO,,
11912445,Ankit and Pratyusa,11900068,
11905487,Prerna Singh,,
11903048,Ashutosh,,
11903893,RCB,,
11909877,,,
11909321,priyanka,,
11900541,,,
11906404,Venkata,,
11702356,the originals,,
11912924,SAA,,
11909498,THK,11912178,11904132
11712310,Dragon flies,,
11904545,WHITE WOLVES,11902552,11905668
11911774,the mischevious,,
11909709,minus infinity,,
11909491,Ninja Panja,11903417,11903167
11914703,,,
11908940,Eshika,,
11913608,,,
11912803,,,
11706923,Mavericks,11702506,11702861
11918528,,,
11904803,,,
11914121,Novus,,
11912947,phoenix,,
11909928,Asadi,,
11906402,Warrior,,
11914840,Resistance,11912668,11910703
11904843,thunder bird,,
11908946,Avengers,11912058,11901956
11909607,team kushal,,
11911192,team shine,,
11912680,Team A,,
11717030,team anshu,,
11908258,learner,,
11911565,muzzafar,,
11912615,,,
11912766,team roshan,,
11703577,Tesla,11702919,11704305
11712682,MN team,,
11904702,sandra soman,,
11915564,ENABLERS,11900247,11908905
11904993,SRK,,
11907532,rising stars,,
11915605,,,
11807383,,,
11805085,Tony Stark,11802434,
11914743,M Hawks,11912885,
11801065,galaxy,11715220,
11804852,Team AVR,11804834,11804850
11900281,shuhail,,
11912251,bharat ,,
11916450,prashant,,
11909489, protein puch,,
11609320,TSR aaghash,,
11902507,,,
11813105,rushali,11804813,11813080
11907070,Jule,11901325,11901325
11912350,ishu,,
11904588,KVIAN ROCKS,11901615,11904645
11908352,the eastern warriors,,
11912498,RDX,,
119000588,AVS,11902058,11903475
11903803,Pooja,,
11913984,hydra,11904084,
11902393,Storm,11906718,11901312
11901663,tech art,11901879,11917444
11906539,golden dawn,11902152,11907908
11904831,Indian,,
11909152,Team Siddharth,,
11902100,brain storms,11904997,11913302
11900332,melodies,11900944,
,,,,
11611095,YourDad,11611080,11612947
11907948,Hotwire,11903905,11905430
11908265,Dazling stars,11914116,11908328
11900094,prajakta,11907417,11904336
11910424,odd rebels,,
11903595,vortex,11915973,
